id	url	source	notes
26	https://jobs.ashbyhq.com/abridge/6aab826b-a60a-434e-889d-e4648f289305	auto-apply	Abridge | Senior Product Designer | SF/NYC Hybrid | $181.9K-$214K
27	https://jobs.ashbyhq.com/abridge/d48553c1-a360-4509-a1e0-9df6d8b480f6	auto-apply	Abridge | Staff Product Designer | SF/NYC Hybrid | $216.7K-$255K
28	https://jobs.ashbyhq.com/abridge/23264e1f-0988-475d-8330-ea2960f3a6a4	auto-apply	Abridge | Senior Research Data Scientist | NYC Hybrid | $188K-$240K
29	https://jobs.ashbyhq.com/abridge/c3837e7e-2d59-49b6-95dc-0f670494fb31	auto-apply	Abridge | Senior Data Scientist | SF Hybrid | $188K-$221K
30	https://jobs.ashbyhq.com/abridge/03a3231f-8361-405e-87a6-192d710ca912	auto-apply	Abridge | Research Scientist Measurement Eval | NYC Hybrid | $220K-$280K
31	https://jobs.ashbyhq.com/handshake/455075db-5eec-4c02-9418-f563e3ac8811	auto-apply	Handshake | Senior Product Designer I HAI | SF Onsite
32	https://jobs.ashbyhq.com/handshake/27bb47ec-0b5f-47f9-ab1a-fc079423e0ba	auto-apply	Handshake | Senior Product Designer II HAI | SF Onsite
33	https://jobs.ashbyhq.com/handshake/9663668d-488f-4fde-9ed3-d80def499ef2	auto-apply	Handshake | Staff Product Designer Employer Exp | SF Onsite
34	https://jobs.ashbyhq.com/handshake/c99145d8-20cf-4acc-bef5-00533362d935	auto-apply	Handshake | Staff Product Designer HAI | SF/NYC Onsite
35	https://jobs.ashbyhq.com/handshake/8330e86c-9f22-47bc-8c68-b9fc9fee9b37	auto-apply	Handshake | Spatial Data Analyst AI Trainer | Remote USA Contract
36	https://jobs.ashbyhq.com/handshake/b40c221b-c4e9-482a-b0e0-3a0182f054eb	auto-apply	Handshake | AI Research Scientist | SF Onsite
37	https://jobs.ashbyhq.com/handshake/01f3aa3a-97b3-4ec0-b6b6-7dbe3f5f8dfa	auto-apply	Handshake | AI Research Scientist Human AI Eval | SF
38	https://jobs.ashbyhq.com/notion/4d0862f2-f882-4291-a894-d3cdc303e4a6	auto-apply	Notion | User Researcher Growth | SF/NYC
39	https://jobs.ashbyhq.com/notion/1ead3ae1-7854-4968-adc8-773747352bd1	auto-apply	Notion | Interaction Designer Web | NYC
40	https://jobs.ashbyhq.com/linear/a264869e-f058-487c-ab7f-9b77dffa427c	auto-apply	Linear | Senior/Staff Product Designer | NA Remote
41	https://jobs.ashbyhq.com/ramp/41696f51-7b29-4e12-b528-46c2f6c4f5f7	auto-apply	Ramp | Senior Data Scientist Growth | NYC HQ Hybrid | $165.8K-$228K
42	https://jobs.ashbyhq.com/ramp/e577622f-6657-4e53-8941-b3a774b04448	auto-apply	Ramp | Data Scientist All Levels | NYC/Remote/SF | $137K-$297K
43	https://jobs.ashbyhq.com/ramp/eca54d0e-232a-4c3e-bfcc-d6c6add393f5	auto-apply	Ramp | Product Designer | NYC/Remote/SF | $172K-$440K
44	https://vercel.com/careers/senior-product-designer-us-5735407004	auto-apply	Vercel | Senior Product Designer | US
45	https://discord.com/jobs/8468440002	auto-apply	Discord | Senior Data Scientist Analytics | SF Bay Area
46	https://discord.com/jobs/8447216002	auto-apply	Discord | Data Scientist Analytics | SF Bay Area
47	https://discord.com/jobs/8523903002	auto-apply	Discord | Recruiting Data Analyst | SF Bay Area
48	https://discord.com/jobs/8445676002	auto-apply	Discord | Product Designer Ads | SF Bay Area
49	https://discord.com/jobs/8359170002	auto-apply	Discord | Product Designer Notifications | SF Bay Area
50	https://jobs.ashbyhq.com/betterup/3eb362fc-4911-42d4-b022-69d5c8c343ac	auto-apply	BetterUp | Principal Product Designer Core | Multi-city Hybrid | $230K-$320K
51	https://jobs.ashbyhq.com/betterup/5b54523c-44e4-4913-8599-da4e641706e7	auto-apply	BetterUp | Staff Product Designer | Multi-city Hybrid | $198K-$276K
52	https://jobs.ashbyhq.com/betterup/19e87e01-6aea-48fc-9f4f-98de7295dc77	auto-apply	BetterUp | GTM Government Senior People Insights Consultant | Multi-city Hybrid
53	https://answerlab.bamboohr.com/careers/172	auto-apply	AnswerLab | UX Researcher Contractor NYC
54	https://answerlab.bamboohr.com/careers/176	auto-apply	AnswerLab | UX Researcher Contractor SF
55	https://answerlab.bamboohr.com/careers/178	auto-apply	AnswerLab | UX Researcher Seattle
56	https://answerlab.bamboohr.com/careers/183	auto-apply	AnswerLab | UX Research Operations Coordinator
57	https://scale.com/careers/4636227005	auto-apply	Scale AI | Senior Forward Deployed Data Scientist Engineer | SF
58	https://scale.com/careers/4631811005	auto-apply	Scale AI | Manager ML Research Scientist GenAI | SF
59	https://scale.com/careers/4488520005	auto-apply	Scale AI | Staff ML Research Scientist Agents | SF
60	https://scale.com/careers/4628044005	auto-apply	Scale AI | Staff ML Research Scientist LLM Evals | SF
61	https://scale.com/careers/4304790005	auto-apply	Scale AI | Tech Lead Manager ML Research LLM Evals | SF
62	https://scale.com/careers/4528009005	auto-apply	Scale AI | ML Research Scientist Post-Training | SF
63	https://scale.com/careers/4605596005	auto-apply	Scale AI | ML Research Scientist Reasoning | SF
64	https://scale.com/careers/4675684005	auto-apply	Scale AI | Research Scientist Agent Robustness | SF
65	https://scale.com/careers/4675694005	auto-apply	Scale AI | Research Scientist AI Controls Monitoring | SF
66	https://scale.com/careers/4677657005	auto-apply	Scale AI | Research Scientist Frontier Risk Eval | SF
67	https://jobs.ashbyhq.com/elevenlabs/89da00ec-11b0-4359-913b-c3a89c1013bc	auto-apply	ElevenLabs | Product Designer | London/NYC Remote
68	https://jobs.ashbyhq.com/claylabs/31d3597f-400e-4c12-9692-a5fb6f5e0d03	auto-apply	Clay Labs | GTM Data Analyst | NYC Hybrid | $130K-$170K
69	https://jobs.ashbyhq.com/claylabs/a284a622-0736-4558-be7a-76434f0dd147	auto-apply	Clay Labs | Product Designer Growth | NYC Hybrid | $160K-$250K
